Dataset,Quantile,Execution_Level,Method,AUC-Average,AUC-Std,PR-AUC-Average,PR-AUC-Std
BPIC20ID,0.8,0.25,EAL,0.6276299212598425,0.010219906745806803,0.04684011092914942,0.004260387912212605
BPIC20ID,0.8,0.25,BMSE,0.6135826771653543,0.025355339394030472,0.04242289736185305,0.0023036622666578427
BPIC20ID,0.8,0.25,SERA,0.580984251968504,0.0,0.06262728117781773,0.0
BPIC20ID,0.8,0.5,Vanilla,0.8478346456692913,0.004158065605425139,0.23554350185975767,0.011015409229208668
BPIC20ID,0.8,0.5,CSW,0.8453622047244094,0.0031004280713005615,0.22993984684152302,0.004958163774306687
BPIC20ID,0.8,0.5,EAL,0.8455511811023623,0.002993809099756649,0.2290937475395201,0.003917650618197478
BPIC20ID,0.8,0.5,BMSE,0.8587244094488188,0.0036850057202852,0.21734750795760244,0.009252190507420585
BPIC20ID,0.8,0.5,SERA,0.6918897637795275,0.0,0.18168508667998834,0.0
BPIC20ID,0.8,0.75,Vanilla,0.9301574803149606,0.0024999224986436987,0.5783421262434828,0.016035171567150053
BPIC20ID,0.8,0.75,CSW,0.9293228346456693,0.0019668102950425558,0.5862760619843651,0.002935376537890715
BPIC20ID,0.8,0.75,EAL,0.9285748031496063,0.00309141619871999,0.5694670872986041,0.007832502290369692
BPIC20ID,0.8,0.75,BMSE,0.9372755905511811,0.0018190084160287071,0.4797541317888432,0.016526200689765812
BPIC20ID,0.8,0.75,SERA,0.8233464566929134,0.0,0.5541099921194278,0.0
BPIC20ID,0.9,0.25,Quantile,0.6926184926184925,0.010225427317165003,0.006076109215855417,0.00028904772417361036
BPIC20ID,0.9,0.25,Vanilla,0.709039109039109,0.017074973891903163,0.007070963033294994,0.0004744632881924602
BPIC20ID,0.9,0.25,CSW,0.7044807044807044,0.022041667681229202,0.006898766359377624,0.0007625845061647163
BPIC20ID,0.9,0.25,EAL,0.7089355089355089,0.01843037544536571,0.007356449375425048,0.0003173911637161852
BPIC20ID,0.9,0.25,BMSE,0.675058275058275,0.007413472413052571,0.004846312341652926,0.00011510198627266676
BPIC20ID,0.9,0.25,SERA,0.5586635586635587,0.0,0.0033812252580970306,0.0
BPIC20ID,0.9,0.5,Quantile,0.9203315203315203,0.011013755712993997,0.018639351054169175,0.0025617264407590407
BPIC20ID,0.9,0.5,Vanilla,0.6875938875938876,0.024979363195176657,0.004797077794292644,0.0003907065339251703
BPIC20ID,0.9,0.5,CSW,0.6691012691012691,0.013458795881437247,0.004512203305980992,0.00019461195364891396
BPIC20ID,0.9,0.5,EAL,0.6847448847448848,0.016528803196311483,0.0047371847944129835,0.0002618064563229373
BPIC20ID,0.9,0.5,BMSE,0.8249158249158249,0.02079112379216727,0.008554693483979175,0.000995316115009735
BPIC20ID,0.9,0.5,SERA,0.09401709401709402,0.0,0.0016648307107809534,2.42434975903054e-19
BPIC20ID,0.9,0.75,Quantile,0.7553483553483554,0.004850985659028536,0.05058189472810239,0.0049705003525052395
BPIC20ID,0.9,0.75,Vanilla,0.6671846671846671,0.017299782659463095,0.005887663384272201,0.0008672077052338311
BPIC20ID,0.9,0.75,CSW,0.6613312613312614,0.012930054550250517,0.005495659701551978,0.0005995667536404908
BPIC20ID,0.9,0.75,EAL,0.6660450660450661,0.021897855404848735,0.005862652470779509,0.0011126447291385832
BPIC20ID,0.9,0.75,BMSE,0.7278425278425279,0.0070868642675897,0.010438462635163136,0.0010244252948724837
BPIC20ID,0.9,0.75,SERA,0.25770525770525765,0.0,0.0020198391837407854,0.0
BPIC20ID,0.95,0.25,Quantile,0.7403726708074534,0.02379344892363547,0.006700392018150714,0.0006474626245208521
BPIC20ID,0.95,0.25,Vanilla,0.6972049689440993,0.004674532056984618,0.006853930435773689,0.0002132526504569097
